,twitter_id,twitter_login,first_name,gender
0,3419584839,MaryannPelchat,maryann,Female
1,335779102,ReeseDulaney,reese,Female
2,16222832,VictoriaTexas,victoria,Female
3,723259004332302336,AlimovKimberley,kimberley,Female
4,707248828575920128,Novamediko,richard,Male
5,563798401,devindorff,devin,Male
6,19637735,fauxmaux,maureen,Female
7,740913650848944128,CornellSurgery,cornell,Male
8,76710321,BruceJump,bruce,Male
9,35708486,jaimeweems,jaime,Male
10,4908213313,Go53041145Karen,karen,Female
11,4493442082,DarleySabrina,sabrina,Female
12,128223389,shawngardner,shawn,Male
13,1286440052,carleenehopedei,carleene,Female
14,6673792,ultimatelibrarn,amy,Female
15,417611948,KenOmegaLTD,ken,Male
16,715190835260731392,DeskofSamHart,sam,Male
17,1966000382,ShortStory4Life,carole,Female
18,46814907,VreeDave,david,Male
19,473108114,BRasher_RACER,bruce,Male
20,739928909874139136,sabrinaauer15,sabrina,Female
21,273603872,cpascalar,charles,Male
22,15444579,christetta,christopher,Male
23,395332249,iTechGuy2,cory,Male
24,739160664850075648,Emily743aboydA,emily,Female
25,2223707353,AmiePenningto14,amie,Female
26,25720343,HilaryBSmith,hilary,Female
27,36656961,Druku,drew,Male
28,366056993,PUTigerFootball,princeton,Male
29,44976106,bre649,pastor,Male
30,738793717746663424,WBC2003,white,Male
31,740849795363917824,injado19,izzie,Female
32,4615727513,nattiebossrdn,nattie,Female
33,334842292,ShatinaMcmullen,shatina,Female
34,3018373536,spuhgeddie,eddie,Male
35,735846915347222528,paleo_fierce,bonnie,Female
36,739494363374456832,post_lu,lu,Female
37,2947172755,3ad4f42b6d6a43e,david,Male
38,56172626,little_mick7,gregory,Male
39,728421976889425920,LivingPureNow,julie,Female
40,21279763,MysticMerGirl,jennifer,Female
41,605578450,JoyMcGowan3,joy,Female
42,734813616235532288,MyTravelGuyVaca,cruise,Male
43,1390505707,BryFlippo,bryson,Male
44,40146077,soosiedoi,susan,Female
45,739210923672375296,mkingcate,maggie,Female
46,991695974,deliefdevalerie,valerie,Female
47,3568712363,AthChlkbrd,athens,Male
48,26550947,hented,ted,Male
49,613889509,butterfly36red,stephanie,Female
50,2588143277,eramad96,gabrielle,Female
51,740759420397817856,TexasOncologist,scott,Male
52,1322618310,lovetodance1234,kristen,Female
53,73954746,VeroBeachLiving,lorraine,Female
54,4074508513,bbufford26,bonnie,Female
55,42854317,Birdy323,ruth,Female
56,389918332,Irwin_Naturals,irwin,Male
57,722052047613345792,causeribbons4u,brittney,Female
58,739572580563181568,thomas_lepera,thomas,Male
59,1518557161,CourttttBrown,court,Male
60,4009828512,suzette_spanhel,suzette,Female
61,98920529,EmmaMCassell,emma,Female
62,86093473,KeenShane,shane,Male
63,353388065,billfinnegan24,bill,Male
64,714126906329661440,Dorothy196988,dorothy,Female
65,401784883,cinnaminnamon,kevin,Male
66,21970060,kmillscomedy,karen,Female
67,2648431763,christian_bouch,christian,Male
68,711424363916963840,DanaEmmons4,dana,Female
69,91861680,susanminatrea,susan,Female
70,68733910,jeremytok,jeremy,Male
71,739639293325541376,gplaiaPharmD,gabrielle,Female
72,3562355112,imadreamgirl1,penne,Female
73,32526778,lmirvine,leslie,Female
74,74542202,Gilmore_Can_Do,heather,Female
75,739586475541434368,peggytlewis,peggy,Female
76,364435762,hannahkatch,hannah,Female
77,3080958509,BarbyBeza,barby,Female
78,1268146394,PhyllisC29325,phyllis,Female
79,4854941846,ErikaMurrell,erika,Female
80,26320427,Veritas_David,david,Male
81,4861667530,KarenMadden01,karen,Female
82,2284194661,KeeptalkTruth,truth,Male
83,739070028985700352,TerryLiverar,terry,Male
84,579550951,RichardCozzette,richard,Male
85,24165962,TNchic32,michelle,Female
86,323225866,LucianaShortal,luciana,Female
87,733087781090529280,chico_rico_the3,christian,Male
88,1358144408,writingriotgirl,maia,Female
89,2899090261,firsttimegrammy,cherine,Female
90,991724425,MariettaSmiles1,marietta,Female
91,729713524340068352,WitmerChristyna,christyna,Female
92,187932189,JamieHeberling,jamie,Female
93,735174773781766144,doreennieves11,doreen,Female
94,735096482748112896,josephnieves79,joseph,Male
95,4803796872,alirwarrick,ali,Male
96,740540605915369472,emyhollyrn,emily,Female
97,2860516233,JodySterk,jody,Female
98,732757596495482880,diane_zartman,diane,Female
99,724480694815092736,kode_cole,kode,Male
100,48516693,RifleRussell,jeff,Male
101,3165429605,RealPaulAlcivar,paul,Male
102,124830628,Olalekan_MUFC,olalekan,Male
103,739876635726479360,clinical2020,paul,Male
104,739141372402356224,adrian_bronson,adrian,Male
105,15942523,diseasecontrol,matthew,Male
106,1408234874,JJ_Insurance,tara,Female
107,49974691,BenWalters77,ben,Male
108,729090359112830976,verkonski,craig,Male
109,1914476292,loganthompsonl,logan,Male
110,2430035603,brashergal,beth,Female
111,740430573978722304,ryanfields1983,ryan,Male
112,4884856704,AnnaMarie_MN,annamarie,Female
113,703483019475091456,jeanine_pyka,jeanine,Female
114,4504034958,MichaelGalvezMD,michael,Male
115,526649968,SueWebb8,sue,Female
116,21095037,footballgirl35,heidi,Female
117,40596662,MorganStewart11,morgan,Female
118,94904538,falcamash5,missie,Female
119,737500563252740096,EthanZekirovski,ethan,Male
120,741300679,who_do_you_know,alex,Male
121,131982759,webblauren,lauren,Female
122,4012281616,pwijoyce,peter,Male
123,713121813912494080,DonPaulleisure,don,Male
124,1170871188,camanda122,amanda,Female
125,3067193019,SylviaReisman,syl,Male
126,15993471,LanaRLawrence,lana,Female
127,77807866,ochoterena,oscar,Male
128,738384595293442048,JeannieBryant16,jeannie,Female
129,22248992,vgreen59,valerie,Female
130,3176689887,MattM_SolveBio,matt,Male
131,4570074809,ebbrackenridge,erin,Female
132,66266772,Kwame_X,kwame,Male
133,2291545112,Oliviaaaa_22,olivia,Female
134,734572368207740928,SarahAbdul16,sarah,Female
135,48514040,jenniferesch,jennifer,Female
136,82662179,TallyFinn,jill,Female
137,4861067084,eliseedm,elise,Female
138,710122856106094592,DrDanielMonti,daniel,Male
139,54700262,zackhale,zack,Male
140,2168880853,nance2898,nancy,Female
141,732398109968359424,SamsonGeoff,geoff,Male
142,732038446567424000,Megan_Frye1,megan,Female
143,3226522151,quietstorm505,liz,Female
144,343704093,CA_JeffWebber,jeff,Male
145,497298105,kelvin_ny,kelvin,Male
146,720738676209102848,LockeWellness,locke,Male
147,25855350,teresainpa,teresa,Female
148,415144359,RMOKelly,deacon,Male
149,737655112890454016,PressmanRosa,rosa,Female
150,458948364,KaylynKaylynn,kaylyn,Female
151,1031694979,peniscillin,zach,Male
152,3219944222,S_Coveleski,samantha,Female
153,573958058,HAUTEbyDaniCee,dani,Female
154,46832813,robertschrs,christopher,Male
155,2163594345,rebound1520,tyler,Male
156,740270868866076672,Mirza_Rizvanovi,mirza,Male
157,4627896075,Jendarnell84,jennifer,Female
158,45127695,bdheck,bruce,Male
159,191857958,commmaven,raquel,Female
160,3152551653,bethanyLsalvia,bethany,Female
161,736292704942993408,Sing_Sparks,joseph,Male
162,43486439,anygren16,annika,Female
163,1271335418,CVentris,cecilia,Female
164,30270202,CrystalSchelle,crystal,Female
165,705816214489206784,veta_health,veta,Female
166,738035410694246400,LAFantasia05,laura,Female
167,739303497720598528,LeePerks6,lee,Male
168,699601029562769408,VivianBumgarner,vivian,Female
169,803835428,LindaKMolnar,linda,Female
170,462312833,TheHermieC,christian,Male
171,4156888887,azi704,nor,Ambiguous
172,96427701,PhillipsSafety,phillips,Male
173,176624697,nmacklin,nancy,Female
174,870348524,OGPattyGoaterJB,josh,Male
175,495113986,UMIWaste,umi,Female
176,3313007520,SueMakanvand,sue,Female
177,1553144269,Brian__Lehman,brian,Male
178,1198951417,juvifor,judith,Female
179,373099660,DVamptriss,denise,Female
180,282828462,CodyKilar,cody,Male
181,2901725615,DetectiveEgan,madeline,Female
182,18813840,ThomasSickler,thomas,Male
183,569660446,GKamaraJones,gloria,Female
184,489648716,LopezaDaniela,daniela,Female
185,712021119767719936,TyberMedical,tyber,Male
186,738298211685662720,DlivaDaLiva,valorie,Female
187,392361575,Admdt11,andrew,Male
188,213428757,salasgirl11,emily,Female
